area_sqft,bedrooms,bathrooms,floors,parking,age_years,city,locality,school_distance_km,hospital_distance_km,metro_distance_km,price
3620,1,1,1,1,20,Delhi,West,8.86,7.53,14.31,23097914
1106,3,2,3,0,20,Mumbai,West,2.07,2.83,7.38,9161585
2565,1,1,3,1,25,Delhi,Central,9.31,0.89,3.29,15949790
654,2,2,2,0,7,Bengaluru,Central,7.03,7.08,5.52,5079601
3306,2,3,2,0,23,Mumbai,East,9.15,5.21,7.62,28316745
4995,4,5,3,2,27,Mumbai,West,5.87,4.5,10.15,44474532
4646,1,1,3,1,28,Delhi,West,8.42,8.63,3.9,28936731
3624,4,3,3,3,5,Mumbai,North,0.71,5.41,8.2,33635012
4864,2,2,2,2,16,Bengaluru,North,4.11,4.45,11.21,29081053
3338,1,1,1,1,25,Chandigarh,North,1.73,2.65,8.33,14402011
1059,1,1,1,0,15,Mumbai,West,5.26,6.64,6.65,8014463
3244,5,5,1,2,16,Delhi,North,3.25,9.8,2.79,23593135
3459,2,2,1,2,3,Delhi,South,1.9,4.45,6.1,24210533
3349,4,5,2,1,18,Chandigarh,West,5.13,8.59,9.95,16535381
3587,2,1,3,3,23,Bengaluru,Central,6.84,5.82,2.1,22584608
4413,3,2,1,3,30,Pune,Central,3.9,0.58,9.35,22881028
3274,1,1,1,1,9,Delhi,North,0.43,8.18,4.37,21656457
2016,3,2,1,0,28,Mumbai,South,2.96,1.94,11.31,16916195
3286,1,2,2,0,6,Pune,West,5.89,8.7,8.52,16666239
2826,1,2,1,1,16,Delhi,South,5.44,5.07,5.97,17724368
4992,3,4,1,3,11,Pune,Central,9.59,8.5,5.45,26169284
4077,5,4,3,3,24,Pune,North,5.63,2.28,14.2,21778818
1667,1,2,1,0,9,Pune,South,9.75,9.96,1.03,8665759
1453,4,3,1,1,6,Pune,West,4.38,2.38,6.07,9429146
3181,2,1,1,0,5,Chandigarh,North,9.87,3.87,5.69,14329227
3423,3,3,2,2,6,Delhi,East,4.46,2.69,6.2,23533776
4209,2,1,3,0,6,Chandigarh,North,7.51,5.92,14.44,18179895
1323,1,1,1,1,25,Chandigarh,East,0.32,9.7,0.84,5538631
4675,5,6,1,3,2,Bengaluru,North,7.02,0.94,2.66,30431493
4084,5,5,2,2,15,Chandigarh,Central,7.42,9.17,14.39,19046894
3331,4,3,2,3,3,Mumbai,Central,4.74,3.66,8.84,29988746
3008,4,3,1,1,2,Bengaluru,West,8.26,9.51,10.94,19624838
2338,1,1,2,3,29,Bengaluru,West,8.69,0.64,0.59,14906320
723,1,2,1,1,30,Bengaluru,Central,4.05,8.33,8.62,3526212
4500,2,1,3,2,0,Delhi,North,0.33,0.94,10.44,30820829
1960,5,4,1,1,9,Pune,Central,3.9,2.56,3.23,11721117
2548,3,2,1,3,29,Chandigarh,Central,8.81,7.62,0.89,10649865
1270,3,3,1,1,11,Pune,North,5.7,8.79,6.17,7037368
3314,5,4,2,1,10,Chandigarh,West,2.29,1.54,0.42,17178312
1858,3,4,3,1,19,Chandigarh,South,5.56,4.62,13.67,7739480
3677,3,2,1,0,3,Mumbai,Central,4.7,8.45,11.58,31446619
4318,3,4,3,2,24,Chandigarh,East,4.71,5.93,6.12,20676557
1399,4,3,3,3,2,Delhi,Central,5.25,9.74,9.11,11422403
4400,5,5,1,0,8,Chandigarh,South,3.69,8.96,2.11,21096688
2253,5,6,1,1,24,Bengaluru,North,4.92,6.94,7.77,14866271
4932,2,1,1,2,28,Chandigarh,North,9.87,5.46,13.88,21525610
1025,2,3,2,3,1,Bengaluru,East,7.53,0.56,3.94,7677878
3297,3,4,1,1,25,Bengaluru,West,3.67,4.09,1.75,20852625
2575,2,3,1,0,6,Pune,South,1.07,5.45,3.65,13197608
566,1,1,2,2,3,Delhi,West,5.46,5.95,11.23,2725700
2972,5,5,2,3,1,Chandigarh,South,2.59,5.08,5.09,15023404
3063,3,3,2,1,30,Mumbai,North,0.75,8.45,0.96,26599478
3090,5,6,2,1,19,Mumbai,North,9.7,8.68,12.29,27867349
4789,3,3,3,0,11,Delhi,North,2.21,9.69,10.72,31439409
1223,1,1,3,0,25,Delhi,South,7.72,1.06,7.69,7220668
4244,2,2,1,2,9,Chandigarh,Central,9.9,3.36,12.19,19615864
820,5,4,1,0,10,Chandigarh,Central,4.84,6.14,11.96,4491929
2408,3,2,2,3,2,Mumbai,South,0.85,7.46,8.7,23218012
4350,1,1,2,3,29,Delhi,North,8.29,2.03,3.69,28757332
1100,5,5,1,1,7,Delhi,West,4.63,7.2,13.52,9005928
2690,1,1,1,0,14,Delhi,North,3.96,5.53,13.62,16313292
3126,3,3,3,2,28,Mumbai,Central,5.06,7.47,8.68,27574670
2704,1,1,1,0,26,Chandigarh,West,7.49,0.53,8.63,11911139
3412,5,6,3,3,12,Chandigarh,South,1.45,4.09,12.0,16969831
3728,4,3,2,2,30,Mumbai,South,6.06,5.74,10.8,33570987
3825,2,2,2,3,22,Bengaluru,East,4.73,9.48,2.47,23952885
2688,2,1,1,2,7,Chandigarh,West,8.75,9.33,8.56,12815304
626,2,1,3,1,8,Mumbai,South,4.36,7.42,14.03,5583392
4297,3,4,1,1,4,Bengaluru,North,9.85,8.42,2.05,28452345
3208,1,1,1,1,19,Chandigarh,Central,7.92,6.12,1.89,14765926
1036,2,3,2,1,6,Pune,North,3.6,7.43,6.89,5535704
1705,1,2,2,0,23,Bengaluru,Central,3.25,7.85,4.31,9147828
3213,4,4,1,0,6,Pune,East,9.76,4.7,8.45,17177426
4922,1,1,2,2,18,Chandigarh,North,2.26,9.0,3.24,22874024
2832,1,1,1,1,15,Delhi,East,5.74,0.84,11.68,18668091
2661,3,4,1,3,28,Mumbai,North,0.94,7.58,4.23,22782274
2401,2,1,3,2,27,Pune,South,8.43,8.7,6.24,11441738
2990,5,5,1,2,4,Chandigarh,East,1.95,6.6,3.73,15455644
2643,3,2,2,0,13,Mumbai,Central,3.07,8.98,0.39,23195460
1013,1,2,1,3,10,Chandigarh,South,2.74,3.92,8.94,5623543
4991,4,3,1,1,29,Bengaluru,Central,3.76,8.64,3.45,31226207
2606,1,1,3,0,13,Pune,South,7.47,7.05,6.16,12374010
1801,3,3,2,1,28,Chandigarh,South,1.88,2.87,0.47,7979553
2122,5,5,2,0,26,Delhi,Central,9.02,8.76,9.04,15405331
954,2,1,1,1,20,Bengaluru,East,3.95,5.29,0.9,6588829
3366,5,6,2,0,20,Pune,South,8.4,4.48,13.75,17379628
686,3,3,2,2,14,Mumbai,North,9.55,1.52,7.36,7428280
2262,4,5,1,1,26,Delhi,South,6.05,3.48,11.61,14687579
2024,1,1,1,0,24,Mumbai,South,7.11,6.06,7.0,16965861
3504,1,1,1,2,16,Chandigarh,East,2.01,5.51,13.12,15222367
4562,5,4,3,0,21,Mumbai,East,6.44,9.81,13.57,40986972
988,5,5,3,3,9,Mumbai,North,5.96,9.99,8.43,12054771
3657,2,3,2,2,20,Bengaluru,North,7.36,2.09,1.91,23345828
3794,4,5,3,1,26,Bengaluru,Central,8.32,0.56,9.02,23519081
3167,4,3,2,2,4,Mumbai,North,5.4,4.52,6.19,30154279
4087,5,5,1,0,17,Chandigarh,South,5.3,4.38,13.17,19451757
4021,3,3,2,1,26,Pune,North,8.77,5.38,14.1,20841585
4913,5,4,3,0,9,Delhi,West,1.1,3.5,7.93,33443334
3124,1,2,1,1,23,Bengaluru,South,3.01,3.1,3.66,18615057
1463,4,5,2,0,28,Delhi,Central,2.74,5.97,14.74,10020507
3915,3,3,1,1,24,Chandigarh,Central,7.48,0.84,6.14,17886011
4064,2,3,2,0,25,Bengaluru,West,0.56,9.58,12.43,24296853
2296,1,1,3,3,25,Mumbai,East,5.35,2.75,7.83,19530276
502,3,3,1,3,28,Mumbai,Central,5.46,6.01,8.79,5371343
4181,3,2,3,2,27,Delhi,South,4.87,0.63,12.81,27557338
2060,5,6,3,1,23,Chandigarh,West,2.68,0.25,10.5,10224710
1413,5,4,1,0,16,Mumbai,Central,0.8,8.85,7.84,14275784
3611,2,3,1,0,0,Delhi,North,8.81,8.01,9.95,24296148
2204,5,6,1,0,20,Bengaluru,East,6.87,6.26,11.34,14380040
4008,2,2,2,0,28,Delhi,West,2.74,2.09,1.44,26343756
2190,1,1,1,3,30,Chandigarh,South,3.89,0.29,12.32,9330130
4026,2,1,2,2,27,Bengaluru,South,6.4,9.33,1.72,24389584
2387,4,4,3,3,16,Bengaluru,Central,7.76,7.14,7.21,15672125
1262,3,2,3,0,10,Pune,East,8.25,3.84,12.32,7649402
3006,2,3,2,1,13,Chandigarh,Central,4.79,9.45,1.71,14115526
3344,5,6,2,2,13,Chandigarh,South,2.45,1.49,13.05,16879706
3953,4,3,1,2,15,Bengaluru,West,8.6,9.65,11.45,24027613
4463,2,1,3,3,16,Pune,Central,6.59,3.81,12.99,22312165
2755,3,3,1,0,28,Delhi,North,7.81,7.76,12.7,18235361
1459,4,3,2,2,19,Delhi,East,8.01,4.92,1.94,11997976
3844,4,3,2,3,24,Bengaluru,South,1.78,6.58,5.02,23920086
4288,1,1,2,1,17,Pune,West,4.9,6.08,4.52,22406663
1228,1,1,1,3,10,Bengaluru,North,4.91,1.23,3.78,9122213
3220,2,2,1,1,0,Bengaluru,Central,1.06,3.64,0.69,20407298
1417,2,2,3,1,13,Mumbai,East,6.99,8.25,0.81,13324595
816,3,4,2,0,5,Bengaluru,East,6.24,6.21,4.62,6005190
1215,2,2,2,2,26,Chandigarh,Central,4.95,6.68,8.38,6288139
1394,3,4,1,3,9,Mumbai,West,4.5,7.3,8.98,13816767
4095,5,4,1,2,25,Pune,Central,3.42,4.81,11.22,21620971
2835,3,3,2,1,18,Delhi,South,2.44,9.96,14.63,19284932
3471,2,3,3,0,28,Delhi,North,4.3,2.2,12.64,22617526
3279,4,4,2,0,18,Mumbai,North,5.87,4.5,10.93,28913076
4311,2,3,2,3,5,Chandigarh,East,6.62,9.92,4.4,19597889
1029,5,6,1,2,25,Bengaluru,East,7.22,9.11,2.86,7388010
1439,2,3,1,0,5,Pune,Central,5.02,2.62,13.09,7626349
3655,2,3,2,0,26,Bengaluru,South,3.26,4.11,12.9,20067728
4856,1,1,3,2,30,Pune,West,2.51,0.92,2.71,23196921
3932,1,1,3,3,0,Mumbai,North,2.67,3.72,5.81,34500236
3678,5,6,1,3,4,Delhi,South,7.86,7.11,6.81,26632304
1774,5,5,2,1,8,Chandigarh,North,5.41,9.38,0.78,10283618
1558,5,4,3,0,0,Mumbai,Central,5.17,0.61,2.4,16897163
3749,4,4,3,3,29,Delhi,South,3.22,7.11,3.19,26245394
4970,2,1,1,2,7,Chandigarh,West,1.73,2.5,14.46,22980896
2974,2,2,2,1,16,Bengaluru,East,8.34,8.67,11.57,17296313
1486,1,1,1,0,18,Chandigarh,South,9.42,8.3,10.07,5344379
4533,2,2,3,0,0,Delhi,South,4.19,8.73,11.78,30210531
3730,1,2,2,0,5,Delhi,North,3.4,6.74,12.16,24205333
1350,5,6,1,3,29,Bengaluru,North,5.54,0.26,5.0,10361698
3647,2,3,3,0,18,Pune,East,4.01,4.6,3.72,17842427
3838,3,3,2,1,1,Bengaluru,West,4.74,3.92,12.98,23544713
3363,2,2,1,0,25,Delhi,Central,1.27,1.66,7.99,21655156
542,2,3,3,0,20,Chandigarh,Central,2.12,0.27,9.78,1541752
1214,3,4,1,0,21,Pune,North,2.11,1.83,9.34,7407589
2192,4,5,2,3,29,Mumbai,South,7.22,2.87,6.32,20732853
3916,3,4,3,3,9,Bengaluru,East,8.04,2.01,4.57,24702402
535,4,4,3,1,0,Delhi,South,3.86,5.36,1.86,5895762
1800,4,3,2,0,14,Chandigarh,East,6.19,4.23,12.63,8581988
3725,3,2,2,3,18,Delhi,Central,8.54,6.78,12.18,25473487
3540,2,1,3,0,2,Chandigarh,South,8.72,4.83,8.12,15974854
2966,4,5,3,1,8,Mumbai,East,4.03,6.03,7.55,26803360
1269,3,4,1,1,2,Mumbai,Central,4.54,4.57,10.92,12280280
1625,2,3,1,1,3,Delhi,East,1.04,8.96,3.04,12123934
2414,1,2,1,0,27,Pune,West,0.86,8.04,3.66,12262531
2085,3,3,1,1,2,Delhi,North,2.07,0.71,5.8,14932771
3161,1,2,2,2,29,Pune,East,3.47,5.89,1.51,15904745
3874,1,2,2,1,29,Delhi,West,4.61,7.61,5.34,24983880
2431,4,5,2,0,22,Chandigarh,South,4.11,1.69,14.89,11349948
785,5,5,2,1,7,Mumbai,Central,7.6,1.45,12.43,9422989
2023,2,1,2,3,0,Chandigarh,West,2.43,3.55,5.84,9355541
2996,3,4,2,2,25,Pune,North,6.09,5.25,13.81,14930159
2690,4,3,2,3,14,Mumbai,West,4.09,5.49,9.49,25253879
633,3,4,2,0,14,Mumbai,Central,4.15,1.9,10.49,7053822
4861,1,1,1,0,21,Pune,South,3.27,6.14,2.26,24315458
1548,5,4,2,3,20,Bengaluru,West,0.45,1.52,14.45,10823188
4723,4,3,3,1,19,Pune,South,4.51,1.24,9.68,24771056
3210,3,4,3,0,18,Bengaluru,East,2.08,2.28,7.37,19184550
1189,5,6,3,0,22,Delhi,South,2.54,1.59,2.0,9319798
899,4,3,3,3,16,Delhi,North,2.48,2.36,2.77,7761215
919,4,4,3,1,30,Mumbai,East,7.96,4.17,9.88,9116879
3529,5,4,2,0,29,Mumbai,West,2.64,1.51,6.39,30780439
3208,2,3,2,3,6,Bengaluru,East,6.27,3.37,12.55,19253780
4768,4,3,3,0,27,Chandigarh,Central,6.53,5.09,4.14,22480121
3057,4,4,2,3,2,Delhi,Central,3.88,4.07,7.0,22170944
4700,1,1,1,0,1,Delhi,East,4.49,2.7,12.64,30325946
4397,4,3,3,2,1,Bengaluru,East,3.99,4.61,3.56,28362505
2648,5,4,3,2,0,Chandigarh,South,0.91,0.9,0.38,14456974
2168,4,3,2,2,13,Pune,Central,9.92,9.71,14.15,11467055
2989,5,4,2,1,7,Delhi,South,2.8,0.41,1.42,22546465
3791,1,2,1,0,1,Chandigarh,West,6.74,0.3,3.98,17116731
4812,2,3,2,2,17,Chandigarh,South,3.36,1.43,7.22,21954399
1269,5,4,3,3,27,Delhi,East,1.74,0.63,1.84,10197381
4197,4,4,1,3,18,Mumbai,East,8.89,6.53,4.43,38271800
2067,1,1,3,1,20,Mumbai,North,7.6,4.71,12.66,17192699
2259,3,3,2,2,24,Pune,South,9.39,0.62,2.64,12550224
4808,4,5,2,2,14,Delhi,North,5.16,8.44,11.05,33789955
3243,3,4,2,2,22,Pune,East,6.95,8.76,9.62,17331716
3800,2,2,1,3,4,Chandigarh,Central,8.84,2.92,3.07,18184282
3020,2,1,2,2,26,Bengaluru,East,2.04,3.68,11.8,18516435
3047,4,4,2,1,25,Mumbai,East,0.55,7.51,3.2,27692025
3134,3,4,3,1,23,Bengaluru,South,5.12,1.42,5.9,19727766
1543,2,2,3,1,4,Pune,East,6.7,0.22,2.84,8234902
2820,4,3,2,2,23,Delhi,Central,1.22,2.41,10.6,18922608
4459,2,2,2,2,30,Chandigarh,North,0.42,3.36,9.62,20310146
1041,2,2,1,2,3,Delhi,West,5.27,4.51,2.38,7555087
4778,1,2,1,1,30,Delhi,Central,2.36,6.06,11.09,29759056
1783,4,5,3,2,5,Chandigarh,West,9.91,7.52,11.15,10068796
3971,5,4,1,1,17,Mumbai,Central,1.82,7.06,8.87,36916445
2400,3,2,3,1,2,Pune,South,4.41,8.75,12.66,13044446
2503,1,1,2,3,4,Pune,East,7.12,6.39,0.94,13100885
2119,1,1,2,3,11,Mumbai,North,0.64,0.56,4.28,18219043
2474,4,4,2,3,15,Chandigarh,North,7.64,4.61,11.7,12170816
2219,3,3,2,2,24,Chandigarh,North,3.59,3.29,11.62,10006994
3641,2,3,3,3,6,Pune,West,4.06,8.31,11.86,18689759
4152,3,4,2,0,23,Mumbai,North,3.51,3.23,14.22,36519090
2431,1,1,1,0,17,Bengaluru,Central,7.26,4.3,1.51,14802399
2187,5,4,2,3,25,Delhi,West,5.52,7.96,8.32,17167056
2133,2,1,2,0,4,Pune,West,9.47,8.53,10.1,9698533
4250,4,5,2,3,26,Bengaluru,North,4.7,0.71,11.84,26120734
2579,5,5,3,3,13,Mumbai,South,7.59,0.38,2.07,24981531
1281,3,2,1,3,25,Mumbai,North,7.56,5.67,8.38,12360948
4470,4,3,2,3,2,Bengaluru,Central,1.23,6.64,12.37,29144536
4902,3,3,1,3,4,Mumbai,North,6.42,8.02,6.06,43536828
2785,2,2,2,3,1,Pune,South,3.3,8.6,13.61,14307112
1112,4,5,1,3,29,Chandigarh,North,6.23,1.02,13.26,5528475
4458,1,2,1,2,20,Mumbai,West,6.75,6.42,2.66,38083327
746,3,2,1,2,0,Bengaluru,East,0.49,8.26,3.3,6570864
3569,5,6,1,3,28,Pune,West,3.11,9.2,1.84,19781354
3004,5,5,2,2,11,Pune,South,3.49,1.9,10.74,16929070
4331,2,2,1,0,2,Chandigarh,Central,1.59,3.61,6.87,20246145
3747,1,1,3,1,14,Mumbai,North,2.69,0.5,11.14,31990129
1589,3,4,3,1,8,Chandigarh,East,6.62,9.92,1.28,8051772
941,1,2,2,2,30,Chandigarh,North,0.87,7.68,6.24,3746611
959,1,2,1,2,27,Chandigarh,East,6.72,2.75,13.63,4182436
4174,2,2,2,1,3,Mumbai,East,3.94,1.46,6.31,37405590
4417,3,2,1,3,23,Delhi,West,0.47,9.67,2.09,30392084
2831,4,3,3,1,30,Pune,Central,5.68,6.36,8.08,15343375
3490,4,4,2,0,28,Chandigarh,North,0.87,2.78,0.88,15751297
2262,1,2,2,1,8,Delhi,West,0.67,9.05,12.81,14641501
4508,5,5,1,3,29,Pune,East,4.41,2.82,11.88,24746342
1799,5,6,1,0,28,Chandigarh,West,5.35,0.52,13.05,9233905
1227,1,1,3,2,7,Mumbai,South,3.31,4.46,11.65,10834151
905,5,6,2,3,24,Delhi,South,7.09,2.53,7.78,8052804
1271,4,3,3,1,11,Bengaluru,East,9.52,6.09,11.21,9934841
2761,1,1,1,0,11,Pune,East,6.12,9.09,3.74,13851521
4957,1,1,1,0,16,Bengaluru,North,6.3,4.8,6.82,30671033
2596,1,1,3,3,27,Pune,Central,2.99,4.74,6.69,12604001
1203,2,3,2,1,8,Bengaluru,South,4.09,1.05,9.33,7446673
682,1,2,1,3,10,Pune,South,0.64,4.62,13.96,2963987
4128,1,2,1,0,12,Mumbai,North,6.16,3.23,12.39,34379283
4533,4,4,1,2,3,Chandigarh,West,3.82,1.39,6.4,21459113
4308,4,4,3,2,8,Chandigarh,Central,9.43,6.75,10.24,21079287
1409,2,3,2,0,24,Chandigarh,West,1.71,1.88,9.64,5327708
4085,5,5,3,3,29,Pune,West,1.59,0.31,6.45,21908231
2498,2,1,1,1,16,Pune,West,2.32,4.77,12.29,11564575
2319,5,5,3,1,3,Delhi,South,6.8,2.9,4.73,17350165
2389,3,4,3,0,30,Mumbai,East,1.17,8.92,0.38,22010911
1641,4,3,3,1,23,Chandigarh,North,1.82,6.53,0.86,8620626
1413,4,5,3,2,30,Chandigarh,Central,7.96,6.04,1.7,6394040
1075,5,5,2,0,30,Chandigarh,West,6.95,1.58,7.39,5767696
1678,3,4,2,2,17,Delhi,North,3.27,1.64,7.42,11694847
4509,5,5,1,0,9,Chandigarh,South,3.87,4.85,6.77,21631011
1296,5,6,3,1,19,Chandigarh,East,0.5,9.71,11.65,6978843
3640,5,4,1,0,1,Mumbai,West,1.85,2.62,12.61,33765267
3680,3,3,1,0,13,Mumbai,North,6.84,2.5,12.49,31582632
2022,1,2,1,2,12,Mumbai,North,6.34,4.99,6.15,17996729
3334,5,6,1,3,27,Chandigarh,North,8.56,7.17,13.62,17088273
2546,3,2,2,2,21,Chandigarh,Central,5.43,8.73,2.13,12152268
1476,4,3,2,1,11,Chandigarh,North,9.7,9.5,7.79,7808510
3167,4,4,3,2,25,Mumbai,North,5.02,5.32,8.53,29615624
3308,3,3,1,2,20,Mumbai,Central,9.81,4.19,12.45,28351090
4322,4,5,1,2,15,Bengaluru,East,9.96,0.78,0.25,27144676
2990,5,4,3,1,28,Pune,West,9.28,0.39,7.26,16658544
3920,3,4,2,1,9,Pune,East,6.4,6.52,12.33,20760634
1809,1,1,3,2,18,Pune,Central,2.17,9.95,1.53,8874500
1041,3,2,1,0,0,Delhi,West,0.88,0.26,14.07,7645312
756,4,5,2,2,7,Chandigarh,Central,4.11,7.29,4.35,5033231
913,3,4,3,1,27,Delhi,Central,5.85,7.04,0.29,6610691
4757,2,2,2,1,25,Bengaluru,Central,4.15,3.09,3.64,29031680
2842,3,4,2,3,29,Mumbai,East,2.81,0.42,8.83,25311510
936,5,4,3,0,18,Bengaluru,North,6.55,1.4,13.35,7384313
2089,4,4,2,1,27,Chandigarh,North,2.5,3.17,4.49,9783858
1535,2,2,2,2,10,Delhi,South,2.86,4.14,1.72,11119562
1764,2,1,2,1,21,Mumbai,West,7.13,0.81,12.62,14393075
3124,3,4,1,2,1,Pune,Central,3.27,7.93,13.4,16992793
2688,3,2,2,3,23,Bengaluru,South,9.65,1.08,10.37,15714391
2510,1,2,2,2,22,Pune,West,2.69,8.78,2.91,12597360
4107,4,5,1,3,14,Pune,East,9.45,2.84,7.24,21941246
3087,1,2,3,3,17,Bengaluru,South,6.42,7.75,0.24,18634598
4572,5,5,1,0,3,Bengaluru,Central,8.53,2.28,9.93,29683755
2516,4,3,3,0,12,Chandigarh,South,3.09,1.54,9.84,12065317
1439,5,5,2,0,3,Mumbai,West,1.04,0.62,10.07,14930750
2600,2,2,1,0,5,Delhi,North,3.51,0.39,2.04,17972261
1174,1,2,3,1,16,Pune,South,9.08,2.81,10.93,6259438
4714,4,5,1,3,27,Pune,South,9.76,1.43,0.45,24782044
2722,1,1,1,1,6,Delhi,East,0.37,3.07,11.64,16414619
4209,4,5,1,3,12,Mumbai,North,9.75,8.5,0.55,38934536
4926,1,2,1,3,7,Delhi,West,2.23,1.69,13.51,32219884
3776,4,5,2,3,25,Mumbai,East,9.9,2.54,8.05,34121715
1479,2,3,3,3,27,Chandigarh,North,7.81,2.21,10.94,7218649
960,5,6,3,3,10,Pune,West,2.75,3.58,13.78,6486893
715,4,3,3,2,8,Chandigarh,West,6.96,6.96,13.97,3369353
2795,1,1,2,2,1,Mumbai,Central,2.57,5.11,10.26,24033573
3000,2,2,2,1,12,Delhi,North,4.69,5.7,12.99,20055485
1119,1,1,3,0,17,Bengaluru,South,8.57,2.57,14.42,5898417
2390,4,5,2,1,24,Bengaluru,West,2.35,4.7,13.81,14782571
2501,2,2,3,0,26,Mumbai,North,3.68,7.04,6.05,20933956
3395,2,2,3,3,12,Mumbai,North,8.57,7.78,4.79,30046894
4782,4,4,2,0,21,Delhi,Central,6.11,8.39,11.81,31076524
4083,4,4,3,2,20,Chandigarh,North,2.38,3.35,12.75,18914728
3160,3,2,1,2,11,Bengaluru,West,6.69,1.36,4.48,20360139
3818,3,3,3,0,24,Bengaluru,West,7.66,3.84,6.01,23535155
4196,3,3,2,0,17,Bengaluru,West,9.93,3.99,8.69,25761802
1605,4,3,2,0,25,Bengaluru,North,8.8,9.75,0.61,11156982
2413,1,1,2,1,23,Bengaluru,East,2.97,9.51,8.81,14386162
3371,3,2,3,3,25,Mumbai,North,8.43,1.61,6.57,30760178
3338,2,3,2,3,12,Bengaluru,West,5.99,2.02,5.11,20666042
1114,4,4,1,2,3,Mumbai,South,3.09,8.82,7.01,11674671
3575,3,3,1,0,22,Chandigarh,South,0.64,3.04,13.98,16749090
753,5,5,1,0,28,Chandigarh,South,4.28,5.32,1.01,4095427
883,3,3,3,3,27,Mumbai,Central,3.24,7.37,9.68,8026787
3740,5,4,3,1,17,Pune,Central,8.98,8.22,3.94,20004697
3950,4,5,2,0,21,Delhi,South,5.99,6.68,1.36,26932511
2322,2,2,3,1,30,Delhi,East,5.27,2.83,9.5,13810163
652,3,2,1,1,16,Pune,East,5.24,5.19,5.67,3859601
3036,2,3,3,2,5,Delhi,West,9.23,7.01,10.99,20108333
1180,5,4,1,1,5,Bengaluru,East,6.72,1.74,1.96,9760699
1060,4,5,1,2,0,Chandigarh,North,3.26,4.93,7.7,6530570
868,3,4,3,3,13,Mumbai,East,7.1,9.71,6.68,9063072
3886,5,6,2,0,0,Delhi,South,9.68,0.71,7.67,27709864
2355,3,4,3,2,9,Bengaluru,East,8.13,6.84,9.45,15357486
2037,3,2,1,3,6,Mumbai,South,3.27,9.37,12.79,18841877
612,4,4,1,2,4,Pune,North,3.66,6.29,5.14,4673930
3116,4,4,1,1,23,Mumbai,South,7.88,3.0,6.6,27559737
1973,4,3,1,3,21,Delhi,East,7.39,1.34,11.76,14797005
627,5,4,2,2,9,Chandigarh,North,9.16,0.31,6.86,4614885
2488,2,2,1,0,26,Chandigarh,Central,5.29,0.93,9.16,11055163
707,2,2,2,1,25,Delhi,West,6.12,0.95,1.32,5053007
2695,4,5,3,2,1,Bengaluru,West,2.82,0.35,14.48,17650046
2242,3,3,1,0,15,Chandigarh,West,5.92,5.35,3.89,10657005
3494,5,6,2,3,1,Mumbai,East,3.86,0.69,9.49,32519860
4896,4,5,1,0,3,Mumbai,Central,9.41,2.36,10.94,44016331
675,1,1,2,2,21,Bengaluru,East,3.41,8.92,1.45,4647811
4962,4,3,3,0,26,Bengaluru,Central,0.29,5.98,9.28,29865068
2759,5,6,1,0,22,Bengaluru,West,0.69,9.13,0.64,18732453
3284,1,1,1,2,15,Mumbai,West,9.13,3.68,6.49,28272514
2051,2,2,3,1,17,Pune,East,8.09,8.27,14.0,9490225
4257,3,3,2,0,22,Chandigarh,Central,7.43,5.31,1.21,20127714
